"name","type","domainmin","domainmax","datastep","minincluded","maxincluded","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"Group","nominal",,,,,,"Ctrl","PD",,,,,,,,,
"Cohort","nominal",,,,,,"NTB","PW",,,,,,,,,
"SNpc_n","continuous",0,,1,,,,,,,,,,,,,
"SNpc_percent","continuous",0,100,0.5,,,,,,,,,,,,,
"PFC1_n","continuous",0,,1,,,,,,,,,,,,,
"PFC1_percent","continuous",0,100,0.5,,,,,,,,,,,,,
"Age_of_death","continuous",0,,1,,,,,,,,,,,,,
"Sex","nominal",,,,,,"F","M",,,,,,,,,
"PMI","continuous",0,,1,,,,,,,,,,,,,
"DV200","continuous",0,100,0.1,,,,,,,,,,,,,
"RIN","continuous",1,10,0.1,,,,,,,,,,,,,
"PD_subtype_AR_TD","nominal",,,,,,"AR","Mixed","TD","Ctrl",,,,,,
"PD_subtype_PIGD_TD","nominal",,,,,,"Mixed","PIGD","TD","Ctrl",,,,,,,
